valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
0.6494629383087158,0,,,,,,
0.6503326296806335,1,,,,,,
,2,0.7446999549865723,,,,,
,3,0.7384034395217896,,,,,
,4,0.736201286315918,,,,,
,5,0.7287663221359253,,,,,
,6,0.717875063419342,,,,,
,4,,0.717875063419342,0,,,
,8,0.7156367897987366,,,,,
,9,0.7130939364433289,,,,,
,10,0.7076305747032166,,,,,
,11,0.7038971781730652,,,,,
,12,0.7026150226593018,,,,,
,9,,0.7026150226593018,0,,,
,14,0.6916017532348633,,,,,
,15,0.6769614219665527,,,,,
,16,0.6836333870887756,,,,,
,17,0.6662614345550537,,,,,
,18,0.6726918816566467,,,,,
,14,,0.6726918816566467,0,,,
,20,0.6700725555419922,,,,,
,21,0.6654185652732849,,,,,
,22,0.6591088175773621,,,,,
,23,0.6548566818237305,,,,,
,24,0.6477346420288086,,,,,
,19,,0.6477346420288086,0,,,
,26,0.6539129018783569,,,,,
,27,0.6421313881874084,,,,,
,28,0.6366540789604187,,,,,
,29,0.6393571496009827,,,,,
,30,0.634864091873169,,,,,
,24,,0.634864091873169,0,,,
,32,0.6177970767021179,,,,,
,33,0.6313750743865967,,,,,
,34,0.6230942010879517,,,,,
,35,0.621813178062439,,,,,
,36,0.6157322525978088,,,,,
,29,,0.6157322525978088,0,,,
,38,0.6095609068870544,,,,,
,39,0.6006154417991638,,,,,
,40,0.6017951369285583,,,,,
,41,0.6016866564750671,,,,,
,42,0.602243185043335,,,,,
,34,,0.602243185043335,0,,,
,44,0.5960322022438049,,,,,
0.5962892770767212,45,,,,,,
,0,,,,0.5962892770767212,,
0.5977820754051208,47,,,,,,
,1,,,,0.5977820754051208,,
0.5950348973274231,49,,,,,,
,2,,,,0.5950348973274231,,
0.5988496541976929,51,,,,,,
,3,,,,0.5988496541976929,,
,35,,,0,,0.5969889760017395,
,35,,,0,,,0.6618285179138184
,55,0.597596287727356,,,,,
,56,0.5951678156852722,,,,,
,57,0.5837250351905823,,,,,
,58,0.5827771425247192,,,,,
,39,,0.5827771425247192,1,,,
,60,0.577414333820343,,,,,
,61,0.583064079284668,,,,,
,62,0.5784400105476379,,,,,
,63,0.5702413320541382,,,,,
,64,0.5741883516311646,,,,,
,44,,0.5741883516311646,1,,,
,66,0.5691993236541748,,,,,
,67,0.5629913806915283,,,,,
,68,0.5529555082321167,,,,,
,69,0.5582408308982849,,,,,
,70,0.5588779449462891,,,,,
,49,,0.5588779449462891,1,,,
,72,0.5496997833251953,,,,,
,73,0.5559015274047852,,,,,
,74,0.5556128621101379,,,,,
,75,0.552445650100708,,,,,
,76,0.5450324416160583,,,,,
,54,,0.5450324416160583,1,,,
,78,0.5415083765983582,,,,,
,79,0.5389808416366577,,,,,
,80,0.531395673751831,,,,,
,81,0.5332040786743164,,,,,
,82,0.53822922706604,,,,,
,59,,0.53822922706604,1,,,
,84,0.531383216381073,,,,,
,85,0.5253110527992249,,,,,
,86,0.5268934369087219,,,,,
,87,0.5283544659614563,,,,,
,88,0.5258688926696777,,,,,
,64,,0.5258688926696777,1,,,
,90,0.5186387896537781,,,,,
,91,0.5166116952896118,,,,,
,92,0.516517162322998,,,,,
,93,0.5148391127586365,,,,,
,94,0.5118921995162964,,,,,
,69,,0.5118921995162964,1,,,
,96,0.5126857161521912,,,,,
,97,0.5073130130767822,,,,,
0.524040162563324,98,,,,,,
,4,,,,0.524040162563324,,
0.5276958346366882,100,,,,,,
,5,,,,0.5276958346366882,,
0.524620532989502,102,,,,,,
,6,,,,0.524620532989502,,
0.5266525149345398,104,,,,,,
,7,,,,0.5266525149345398,,
,71,,,1,,0.5257523059844971,
,71,,,1,,,0.5478665828704834
,108,0.5155094861984253,,,,,
,109,0.5095397233963013,,,,,
,110,0.5048542022705078,,,,,
,74,,0.5048542022705078,2,,,
,112,0.5069201588630676,,,,,
,113,0.49531450867652893,,,,,
,114,0.5045772194862366,,,,,
,115,0.49875038862228394,,,,,
,116,0.4969097673892975,,,,,
,79,,0.4969097673892975,2,,,
,118,0.5050513744354248,,,,,
,119,0.49389198422431946,,,,,
,120,0.4932117760181427,,,,,
,121,0.48577091097831726,,,,,
,122,0.486052930355072,,,,,
,84,,0.486052930355072,2,,,
,124,0.48758751153945923,,,,,
,125,0.4862518012523651,,,,,
,126,0.48631751537323,,,,,
,127,0.48306646943092346,,,,,
,128,0.4877792000770569,,,,,
,89,,0.4877792000770569,2,,,
,130,0.48296308517456055,,,,,
,131,0.4777763783931732,,,,,
,132,0.4741182029247284,,,,,
,133,0.4658427834510803,,,,,
,134,0.4756953716278076,,,,,
,94,,0.4756953716278076,2,,,
,136,0.4727403223514557,,,,,
,137,0.4665285646915436,,,,,
,138,0.46116435527801514,,,,,
,139,0.47442471981048584,,,,,
,140,0.4661438465118408,,,,,
,99,,0.4661438465118408,2,,,
,142,0.4684893488883972,,,,,
,143,0.46045440435409546,,,,,
,144,0.4641546308994293,,,,,
,145,0.45654723048210144,,,,,
,146,0.45754140615463257,,,,,
,104,,0.45754140615463257,2,,,
,148,0.45410728454589844,,,,,
,149,0.4570066034793854,,,,,
,150,0.4509452283382416,,,,,
0.4731622040271759,151,,,,,,
,8,,,,0.4731622040271759,,
0.4790045917034149,153,,,,,,
,9,,,,0.4790045917034149,,
0.4758303761482239,155,,,,,,
,10,,,,0.4758303761482239,,
0.47573813796043396,157,,,,,,
,11,,,,0.47573813796043396,,
,107,,,2,,0.47593384981155396,
,107,,,2,,,0.4809444546699524
,161,0.46080482006073,,,,,
,162,0.4568595290184021,,,,,
,109,,0.4568595290184021,3,,,
,164,0.45700010657310486,,,,,
,165,0.4566412568092346,,,,,
,166,0.4519091844558716,,,,,
,167,0.45591121912002563,,,,,
,168,0.4482034742832184,,,,,
,114,,0.4482034742832184,3,,,
,170,0.44373202323913574,,,,,
,171,0.45391690731048584,,,,,
,172,0.44899871945381165,,,,,
,173,0.44410380721092224,,,,,
,174,0.43740376830101013,,,,,
,119,,0.43740376830101013,3,,,
,176,0.44939813017845154,,,,,
,177,0.4370667338371277,,,,,
,178,0.4384470283985138,,,,,
,179,0.43635308742523193,,,,,
,180,0.4491524398326874,,,,,
,124,,0.4491524398326874,3,,,
,182,0.44173070788383484,,,,,
,183,0.44144922494888306,,,,,
,184,0.44302794337272644,,,,,
,185,0.43471065163612366,,,,,
,186,0.427244633436203,,,,,
,129,,0.427244633436203,3,,,
,188,0.4394546449184418,,,,,
,189,0.43946874141693115,,,,,
,190,0.43001455068588257,,,,,
,191,0.42418426275253296,,,,,
,192,0.43922245502471924,,,,,
,134,,0.43922245502471924,3,,,
,194,0.42872869968414307,,,,,
,195,0.4302467405796051,,,,,
,196,0.4267680048942566,,,,,
,197,0.42439478635787964,,,,,
,198,0.4174840450286865,,,,,
,139,,0.4174840450286865,3,,,
,200,0.4236157238483429,,,,,
,201,0.42218807339668274,,,,,
,202,0.41788050532341003,,,,,
,203,0.42092031240463257,,,,,
0.43942856788635254,204,,,,,,
,12,,,,0.43942856788635254,,
0.44652286171913147,206,,,,,,
,13,,,,0.44652286171913147,,
0.4435824751853943,208,,,,,,
,14,,,,0.4435824751853943,,
0.4421079158782959,210,,,,,,
,15,,,,0.4421079158782959,,
,143,,,3,,0.44291046261787415,
,143,,,3,,,0.43885108828544617
,214,0.43475770950317383,,,,,
,144,,0.43475770950317383,4,,,
,216,0.43109238147735596,,,,,
,217,0.425807923078537,,,,,
,218,0.42295005917549133,,,,,
,219,0.4240727126598358,,,,,
,220,0.4214968681335449,,,,,
,149,,0.4214968681335449,4,,,
,222,0.41807886958122253,,,,,
,223,0.4179665148258209,,,,,
,224,0.42674520611763,,,,,
,225,0.41153794527053833,,,,,
,226,0.4149610698223114,,,,,
,154,,0.4149610698223114,4,,,
,228,0.40881556272506714,,,,,
,229,0.4188591241836548,,,,,
,230,0.4134266972541809,,,,,
,231,0.42074525356292725,,,,,
,232,0.4148700535297394,,,,,
,159,,0.4148700535297394,4,,,
,234,0.41443583369255066,,,,,
,235,0.4140889048576355,,,,,
,236,0.41719311475753784,,,,,
,237,0.41695791482925415,,,,,
,238,0.4058772921562195,,,,,
,164,,0.4058772921562195,4,,,
,240,0.4042876064777374,,,,,
,241,0.41576454043388367,,,,,
,242,0.41353821754455566,,,,,
,243,0.40660372376441956,,,,,
,244,0.4016006886959076,,,,,
,169,,0.4016006886959076,4,,,
,246,0.41479814052581787,,,,,
,247,0.39791297912597656,,,,,
,248,0.4096922278404236,,,,,
,249,0.4091138243675232,,,,,
,250,0.4013848304748535,,,,,
,174,,0.4013848304748535,4,,,
,252,0.39953285455703735,,,,,
,253,0.3986017107963562,,,,,
,254,0.39918282628059387,,,,,
,255,0.4027830958366394,,,,,
,256,0.4065898656845093,,,,,
,179,,0.4065898656845093,4,,,
0.41487085819244385,258,,,,,,
,16,,,,0.41487085819244385,,
0.42327427864074707,260,,,,,,
,17,,,,0.42327427864074707,,
0.420274943113327,262,,,,,,
,18,,,,0.420274943113327,,
0.4175834059715271,264,,,,,,
,19,,,,0.4175834059715271,,
,179,,,4,,0.41900086402893066,
,179,,,4,,,0.4132257401943207
,268,0.4107445180416107,,,,,
,269,0.4034772217273712,,,,,
,270,0.40531885623931885,,,,,
,271,0.40919923782348633,,,,,
,272,0.40222230553627014,,,,,
,184,,0.40222230553627014,5,,,
,274,0.41093671321868896,,,,,
,275,0.4028773307800293,,,,,
,276,0.39746779203414917,,,,,
,277,0.41601377725601196,,,,,
,278,0.3980015218257904,,,,,
,189,,0.3980015218257904,5,,,
,280,0.39316534996032715,,,,,
,281,0.3878229558467865,,,,,
,282,0.405911386013031,,,,,
,283,0.3994132876396179,,,,,
,284,0.39908140897750854,,,,,
,194,,0.39908140897750854,5,,,
,286,0.39471590518951416,,,,,
,287,0.40197160840034485,,,,,
,288,0.3939208984375,,,,,
,289,0.40163201093673706,,,,,
,290,0.39725738763809204,,,,,
,199,,0.39725738763809204,5,,,
,292,0.3983249366283417,,,,,
,293,0.3854579031467438,,,,,
,294,0.3978574275970459,,,,,
,295,0.40072008967399597,,,,,
