valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
0.694190263748169,0,,,,,,
0.7111157178878784,1,,,,,,
,2,0.6649196743965149,,,,,
,3,0.6161156296730042,,,,,
,4,0.6454236507415771,,,,,
,5,0.6271400451660156,,,,,
,6,0.5633392930030823,,,,,
,4,,0.5633392930030823,0,,,
,8,0.5933908820152283,,,,,
,9,0.6127842664718628,,,,,
,10,0.6742122173309326,,,,,
,11,0.6842626333236694,,,,,
,12,0.5081902146339417,,,,,
,9,,0.5081902146339417,0,,,
,14,0.6510125994682312,,,,,
,15,0.49692803621292114,,,,,
,16,0.5498745441436768,,,,,
,17,0.5588615536689758,,,,,
,18,0.6869033575057983,,,,,
,14,,0.6869033575057983,0,,,
,20,0.5534887909889221,,,,,
,21,0.5615426898002625,,,,,
,22,0.5989681482315063,,,,,
0.6280868649482727,23,,,,,,
,0,,,,0.6280868649482727,,
0.5822495818138123,25,,,,,,
,1,,,,0.5822495818138123,,
0.637686014175415,27,,,,,,
,2,,,,0.637686014175415,,
0.6550596356391907,29,,,,,,
,3,,,,0.6550596356391907,,
0.6095708012580872,31,,,,,,
,4,,,,0.6095708012580872,,
0.63030606508255,33,,,,,,
,5,,,,0.63030606508255,,
,17,,,0,,0.6238265037536621,
,17,,,0,,,0.6026310324668884
,37,0.5004926919937134,,,,,
,38,0.4183262288570404,,,,,
,19,,0.4183262288570404,1,,,
,40,0.6290110945701599,,,,,
,41,0.5423194766044617,,,,,
,42,0.4505004584789276,,,,,
,43,0.5847097635269165,,,,,
,44,0.5127666592597961,,,,,
,24,,0.5127666592597961,1,,,
,46,0.6241936087608337,,,,,
,47,0.7427548170089722,,,,,
,48,0.4701659381389618,,,,,
,49,0.6061939597129822,,,,,
,50,0.4192458987236023,,,,,
,29,,0.4192458987236023,1,,,
,52,0.47172340750694275,,,,,
,53,0.5379259586334229,,,,,
,54,0.6735750436782837,,,,,
,55,0.5419864654541016,,,,,
,56,0.5214097499847412,,,,,
,34,,0.5214097499847412,1,,,
,58,0.6015523672103882,,,,,
0.5398776531219482,59,,,,,,
,6,,,,0.5398776531219482,,
0.4591788947582245,61,,,,,,
,7,,,,0.4591788947582245,,
0.5994148850440979,63,,,,,,
,8,,,,0.5994148850440979,,
0.6149574518203735,65,,,,,,
,9,,,,0.6149574518203735,,
0.5130012631416321,67,,,,,,
,10,,,,0.5130012631416321,,
0.6242608428001404,69,,,,,,
,11,,,,0.6242608428001404,,
,35,,,1,,0.5584484934806824,
,35,,,1,,,0.5471585988998413
,73,0.44949495792388916,,,,,
,74,0.3643282353878021,,,,,
,75,0.6239970326423645,,,,,
,76,0.6092557907104492,,,,,
,39,,0.6092557907104492,2,,,
,78,0.3510303795337677,,,,,
,79,0.5308644771575928,,,,,
,80,0.47369325160980225,,,,,
,81,0.6273446083068848,,,,,
,82,0.7482714056968689,,,,,
,44,,0.7482714056968689,2,,,
,84,0.42442119121551514,,,,,
,85,0.563653290271759,,,,,
,86,0.3856901526451111,,,,,
,87,0.4787951707839966,,,,,
,88,0.48232555389404297,,,,,
,49,,0.48232555389404297,2,,,
,90,0.6711784601211548,,,,,
,91,0.5324137210845947,,,,,
,92,0.516196072101593,,,,,
,93,0.5530579090118408,,,,,
0.5045034289360046,94,,,,,,
,12,,,,0.5045034289360046,,
0.42140528559684753,96,,,,,,
,13,,,,0.42140528559684753,,
0.608003556728363,98,,,,,,
,14,,,,0.608003556728363,,
0.6023864150047302,100,,,,,,
,15,,,,0.6023864150047302,,
0.4852145314216614,102,,,,,,
,16,,,,0.4852145314216614,,
0.642731249332428,104,,,,,,
,17,,,,0.642731249332428,,
,53,,,2,,0.5440407991409302,
,53,,,2,,,0.5214451551437378
,108,0.4027659296989441,,,,,
,54,,0.4027659296989441,3,,,
,110,0.3637024760246277,,,,,
,111,0.5823990106582642,,,,,
,112,0.5596668124198914,,,,,
,113,0.349804162979126,,,,,
,114,0.518619179725647,,,,,
,59,,0.518619179725647,3,,,
,116,0.45884114503860474,,,,,
,117,0.5796847939491272,,,,,
,118,0.7293443083763123,,,,,
,119,0.38086074590682983,,,,,
,120,0.540620744228363,,,,,
